dataset_row,title,source_row,paragraph_id,sentence_start_id,sentence_end_id,sentence_count,word_count,char_count,topic,document,sentence
2226,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,440,677,678,2,21,99,0,And I wanted to do something else in my own family. I wanted to do something else in my own family.,And I wanted to do something else in my own family. I wanted to do something else in my own family.
2227,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,441,679,680,2,16,78,0,I wanted to do something else. I wanted to do something else in my own family.,I wanted to do something else. I wanted to do something else in my own family.
2228,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,442,681,681,1,13,52,0,"If you want to see it, you can see that it is clear.","If you want to see it, you can see that it is clear."
2229,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,443,682,682,1,22,92,0,"Here you can see it now, but you don't see it, you don't see it, and I have to say it again.","Here you can see it now, but you don't see it, you don't see it, and I have to say it again."
2230,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,444,683,684,2,27,128,0,"You see, that's all. But as I said before, it's only 2 minutes left, 5 minutes, 7 minutes, but I think I'm going to do it again.","You see, that's all. But as I said before, it's only 2 minutes left, 5 minutes, 7 minutes, but I think I'm going to do it again."
2231,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,445,685,685,1,13,52,0,"And if you want to do it again, you can do it again.","And if you want to do it again, you can do it again."
2232,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,446,686,686,1,14,55,0,"If I don't do it again, I won't be able to do it again.","If I don't do it again, I won't be able to do it again."
2233,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,447,687,689,3,24,119,0,"Yeah, one fucking time. What the hell was that? Before we go to the coffee room check, I'd like to show you the sluice.","Yeah, one fucking time. What the hell was that? Before we go to the coffee room check, I'd like to show you the sluice."
2234,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,448,690,690,1,14,63,0,"And before I show you the sluice, I'd like to say a few things.","And before I show you the sluice, I'd like to say a few things."
2235,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,449,691,692,2,16,82,0,Here you can see the ukulele in the background. The sluice is made out of plastic.,Here you can see the ukulele in the background. The sluice is made out of plastic.
2236,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,450,693,693,1,13,60,0,"It is 30% glass, but the rest will be made out of ritziness.","It is 30% glass, but the rest will be made out of ritziness."
2237,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,451,694,695,2,13,65,0,"So, in biology, polymer is made out of ritziness. You can see it.","So, in biology, polymer is made out of ritziness. You can see it."
2238,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,452,696,696,1,12,56,0,"with 30% glass, and you can get a little bit of slizzle.","with 30% glass, and you can get a little bit of slizzle."
2239,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,453,697,697,1,17,74,0,"Yes, at the same time, a lot of people don't know how to use the BMW logo.","Yes, at the same time, a lot of people don't know how to use the BMW logo."
2240,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,454,698,698,1,13,69,0,"It's very simple, it's an integral part of the test and the coverage.","It's very simple, it's an integral part of the test and the coverage."
2241,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,455,699,699,1,22,90,0,"And on the other hand, I can show you what it does, and I can also show you how to use it.","And on the other hand, I can show you what it does, and I can also show you how to use it."
2242,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,456,700,700,1,15,68,0,"Good, I can use it as an integral part of the test and the coverage.","Good, I can use it as an integral part of the test and the coverage."
2243,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,457,701,702,2,24,116,0,"I'm going to show you the slizzle part of the test. And when I see this club here, I think, man, you're just like...","I'm going to show you the slizzle part of the test. And when I see this club here, I think, man, you're just like..."
2244,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,458,703,704,2,25,120,0,"I don't know. I'm not sure about the pack, but I will show you from behind that here you have the car from the motorway.","I don't know. I'm not sure about the pack, but I will show you from behind that here you have the car from the motorway."
2245,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,459,705,705,1,22,94,0,"I have here a small car, you can see it in front of the club, and here you have a coffee room.","I have here a small car, you can see it in front of the club, and here you have a coffee room."
2246,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,460,706,706,1,13,62,0,"This is where the station is located, if I don't have a stick.","This is where the station is located, if I don't have a stick."
2247,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,461,707,708,2,14,65,0,And here you see one of the cars. I'm going to record this thing.,And here you see one of the cars. I'm going to record this thing.
2248,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,462,709,710,2,24,105,0,790 cm long and the weight can be very high. And then you have to record for this the 8 and 36 cm length.,790 cm long and the weight can be very high. And then you have to record for this the 8 and 36 cm length.
2249,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,463,711,712,2,17,82,0,That's what I'm going to cover today. So 8 and 36 cm thick on the brightest style.,That's what I'm going to cover today. So 8 and 36 cm thick on the brightest style.
2250,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,464,713,714,2,20,94,0,We have 18 and 16 cm on the smallest style. It's 40cm long and the width here is 40-30cm long.,We have 18 and 16 cm on the smallest style. It's 40cm long and the width here is 40-30cm long.
2251,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,465,715,716,2,18,84,0,I will show you a little bit more about the trolley. It doesn't have a lot of width.,I will show you a little bit more about the trolley. It doesn't have a lot of width.
2252,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,466,717,718,2,19,84,0,We have a little bit of space to go through here. Our goal is not to think about it.,We have a little bit of space to go through here. Our goal is not to think about it.
2253,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,467,719,719,1,12,54,0,"If you want to know the number, the number 23 is here.","If you want to know the number, the number 23 is here."
2254,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,468,720,720,1,13,58,0,"Then you have an LED, a little LED, and the link is there.","Then you have an LED, a little LED, and the link is there."
2255,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,469,721,721,1,15,70,0,There you see the tire kit and also the first aid kit as an advantage.,There you see the tire kit and also the first aid kit as an advantage.
2256,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,470,722,723,2,19,93,0,And in principle that was or was not shown. Here we have this stove with 150 liters of water.,And in principle that was or was not shown. Here we have this stove with 150 liters of water.
2257,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,471,724,725,2,17,74,0,"In the end, you need 360 kilos of water. I can't wait for the day to come.","In the end, you need 360 kilos of water. I can't wait for the day to come."
2258,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,472,726,727,2,15,70,0,"And I will say to myself that you can't do anything. Oh, come with me!","And I will say to myself that you can't do anything. Oh, come with me!"
2259,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,473,728,730,3,19,92,0,It's nice to meet you. It's a pleasure to meet you. Thank you very much for your time today.,It's nice to meet you. It's a pleasure to meet you. Thank you very much for your time today.
2260,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,474,731,731,1,20,92,0,"Yes, first of all, I'd like to say that the BMW E8 has three modes that you can choose from.","Yes, first of all, I'd like to say that the BMW E8 has three modes that you can choose from."
2261,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,475,732,733,2,26,119,0,"One is called Eco Pro. For example, I use an Eco Pro and a Comfot here, which can be used in a lot of different places.","One is called Eco Pro. For example, I use an Eco Pro and a Comfot here, which can be used in a lot of different places."
2262,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,476,734,734,1,29,136,0,"If I use a Comfot here, then I can use the Gangwall here, where you can use it to drive through the street and then use the Comfot here.","If I use a Comfot here, then I can use the Gangwall here, where you can use it to drive through the street and then use the Comfot here."
2263,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,477,735,735,1,20,93,0,"That way, I can also use the cockpit, which can be used in a lot of different places as well.","That way, I can also use the cockpit, which can be used in a lot of different places as well."
2264,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,478,736,736,1,13,61,0,I would like to show you how to use it with full electricity.,I would like to show you how to use it with full electricity.
2265,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,479,737,738,2,20,96,0,"And then they took their children to the hospital. I don't know if you can see it, but it's not.","And then they took their children to the hospital. I don't know if you can see it, but it's not."
2266,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,480,739,740,2,17,81,2,"So it's a little bit different. It's like an E3, but in the middle of the street.","So it's a little bit different. It's like an E3, but in the middle of the street."
2267,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,481,741,742,2,19,92,0,It's a little bit different. It's a very small electric car and it's a bit more than 120 km.,It's a little bit different. It's a very small electric car and it's a bit more than 120 km.
2268,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,482,743,743,1,14,76,0,"In my opinion, Hinderkopf is an electric car, but it's also a front-end car.","In my opinion, Hinderkopf is an electric car, but it's also a front-end car."
2269,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,483,744,745,2,24,113,0,"Not a rear-end car, not a rear-end. If you don't have an electric car on the way, it's about 30 km away from you.","Not a rear-end car, not a rear-end. If you don't have an electric car on the way, it's about 30 km away from you."
2270,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,484,746,747,2,14,66,0,"But I think it's a little bit more than 120 km. Yes, that's right.","But I think it's a little bit more than 120 km. Yes, that's right."
2271,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,485,748,749,2,27,134,0,"Yes, that's what I wanted to say. For those of you who don't know the language, you can find me on my website at www.tukndirector.com.","Yes, that's what I wanted to say. For those of you who don't know the language, you can find me on my website at www.tukndirector.com."
2272,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,486,750,751,2,16,87,0,I've come here because it's a gentleman's website. You don't need to go to the village.,I've come here because it's a gentleman's website. You don't need to go to the village.
2273,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,487,752,752,1,14,64,0,It's a place where you can come and visit a lot of other places.,It's a place where you can come and visit a lot of other places.
2274,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,488,753,753,1,13,63,1,"So, yes, you can find me on my website at www.tukndirector.com.","So, yes, you can find me on my website at www.tukndirector.com."
2275,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,489,754,755,2,23,104,0,"The owner is the right owner, the owner can choose. All this is a big effect on the young people of B&W.","The owner is the right owner, the owner can choose. All this is a big effect on the young people of B&W."
2276,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,490,756,756,1,20,83,0,"We have a lot of sound, a lot of keyboard, a lot of loud music, and a lot of ruxes.","We have a lot of sound, a lot of keyboard, a lot of loud music, and a lot of ruxes."
2277,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,491,757,757,1,14,66,0,"And they give us a lot more space, even though we don't have time.","And they give us a lot more space, even though we don't have time."
2278,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,492,758,759,2,21,99,0,"This space is really super. It's really a room, a room, a room, and I don't want to waste any time.","This space is really super. It's really a room, a room, a room, and I don't want to waste any time."
2279,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,493,760,761,2,29,157,0,"But that's why it's called the right cylinder. I think it's important to remember that if you go to the SAE Automation Center, then it's really not a garage.","But that's why it's called the right cylinder. I think it's important to remember that if you go to the SAE Automation Center, then it's really not a garage."
2280,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,494,762,762,1,30,126,0,"If you go to a garage, I don't know if you go to a garage, but if you go to a garage, you'll see that there's a lot of garage.","If you go to a garage, I don't know if you go to a garage, but if you go to a garage, you'll see that there's a lot of garage."
2281,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,495,763,765,3,15,78,0,"There's a lot of food. There's nothing to eat. In Germany, it's not like that.","There's a lot of food. There's nothing to eat. In Germany, it's not like that."
2282,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,496,766,768,3,26,121,0,"There's nothing to eat in another land. we have to come to a place for all the people to live. So, let's get to the road.","There's nothing to eat in another land. we have to come to a place for all the people to live. So, let's get to the road."
2283,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,497,769,771,3,16,85,0,There is an engine spring. I'm going to show you how it works. It's very comfortable.,There is an engine spring. I'm going to show you how it works. It's very comfortable.
2284,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,498,772,774,3,14,64,0,It's made out of space. All is well. There is also a normal fan.,It's made out of space. All is well. There is also a normal fan.
2285,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,499,775,777,3,35,184,0,"It's also an adaptive fan. It's very comfortable. If you want to have a comfortable car, if you want to have a very comfortable car in the road, then this fan is also very comfortable.","It's also an adaptive fan. It's very comfortable. If you want to have a comfortable car, if you want to have a very comfortable car in the road, then this fan is also very comfortable."
2286,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,500,778,779,2,14,52,0,"Yeah, I had to... I have a lot of fun, a lot of fun.","Yeah, I had to... I have a lot of fun, a lot of fun."
2287,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,501,780,781,2,15,58,0,I have a lot of fun too. It's a good 200 km with this van.,I have a lot of fun too. It's a good 200 km with this van.
2288,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,502,782,782,1,25,109,0,"I don't know how much time it will take to drive with this car, but in my opinion it will take a lot of time.","I don't know how much time it will take to drive with this car, but in my opinion it will take a lot of time."
2289,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,503,783,784,2,15,59,0,It will take a lot of time. We will have a lot of fun here.,It will take a lot of time. We will have a lot of fun here.
2290,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,504,785,785,1,13,53,0,"But once the car is done, it will take a lot of time.","But once the car is done, it will take a lot of time."
2291,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,505,786,786,1,21,85,0,It will take a lot of time to drive with this car and a lot of time to drive with it.,It will take a lot of time to drive with this car and a lot of time to drive with it.
2292,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,506,787,787,1,14,58,0,"the T-E-T-E-G, then it will take place on the 2nd of July.","the T-E-T-E-G, then it will take place on the 2nd of July."
2293,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,507,788,788,1,16,74,0,"So, if you meet the commander of the Fingern, you will be able to do that.","So, if you meet the commander of the Fingern, you will be able to do that."
2294,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,508,789,790,2,25,115,0,"I think it's a very good sport, because it's very strong. I can't say for sure that I won't be able to do it again.","I think it's a very good sport, because it's very strong. I can't say for sure that I won't be able to do it again."
2295,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,509,791,791,1,15,73,0,"Yes, the language, as I said, can be very difficult for me as a director.","Yes, the language, as I said, can be very difficult for me as a director."
2296,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,510,792,792,1,23,109,0,"It's a comfort for me as an owner, but for a sport, when it's difficult for me to do it, it's very difficult.","It's a comfort for me as an owner, but for a sport, when it's difficult for me to do it, it's very difficult."
2297,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,511,793,793,1,22,105,0,"I can't say for sure when it's difficult for me to do it again, when it's difficult for me as a director.","I can't say for sure when it's difficult for me to do it again, when it's difficult for me as a director."
2298,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,512,794,796,3,13,64,0,"Yes, the brakes. I can't say that. We have no problem with them.","Yes, the brakes. I can't say that. We have no problem with them."
2299,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,513,797,798,2,16,73,0,We have a lot of problems with them. We have a lot of problems with them.,We have a lot of problems with them. We have a lot of problems with them.
2300,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,514,799,800,2,16,73,0,We have a lot of problems with them. We have a lot of problems with them.,We have a lot of problems with them. We have a lot of problems with them.
2301,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,515,801,802,2,16,73,0,We have a lot of problems with them. We have a lot of problems with them.,We have a lot of problems with them. We have a lot of problems with them.
2302,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,516,803,804,2,16,73,0,We have a lot of problems with them. We have a lot of problems with them.,We have a lot of problems with them. We have a lot of problems with them.
2303,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,517,805,805,1,80,371,0,"Yes, that's why I said that in sport, you need to be able to drive in the same comfort mode as in the same comfort mode as in the same comfort mode as in the same comfort mode as in the same comfort mode as in the same comfort mode as in the same comfort mode as in the same comfort mode as in the same comfort mode as in the same comfort mode as in the same comfort mode","Yes, that's why I said that in sport, you need to be able to drive in the same comfort mode as in the same comfort mode as in the same comfort mode as in the same comfort mode as in the same comfort mode as in the same comfort mode as in the same comfort mode as in the same comfort mode as in the same comfort mode as in the same comfort mode as in the same comfort mode"
2304,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,518,805,805,1,62,283,0,"as in the same comfort mode as in the same comfort mode as in the same comfort mode as in the same comfort mode as in the same comfort mode as in the same comfort mode And I think it was about two or three years ago when we were young, we didn't have a lot of fun, it was very clear.","as in the same comfort mode as in the same comfort mode as in the same comfort mode as in the same comfort mode as in the same comfort mode as in the same comfort mode And I think it was about two or three years ago when we were young, we didn't have a lot of fun, it was very clear."
2305,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,519,806,807,2,46,206,0,"And we didn't have a lot of fun. We went to the gas station, we went to the church, and then we went to the location, and then we went to work, and then we saw that there was only one way to come by, right?","And we didn't have a lot of fun. We went to the gas station, we went to the church, and then we went to the location, and then we went to work, and then we saw that there was only one way to come by, right?"
2306,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,520,808,808,1,12,56,0,"For me, the general feeling in the car, I find it super.","For me, the general feeling in the car, I find it super."
2307,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,521,809,809,1,80,380,0,"So, driving with the car from the right side to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right","So, driving with the car from the right side to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right side, to the right"
2308,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,522,809,809,1,13,62,0,"side, to the right side, to the right side, to the right side.","side, to the right side, to the right side, to the right side."
2309,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,523,810,811,2,18,74,0,I'm not sure. But I'm also a fan of the fact that I've done a video on it.,I'm not sure. But I'm also a fan of the fact that I've done a video on it.
2310,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,524,812,813,2,13,58,0,I've done a video on it. It's the first time I've done it.,I've done a video on it. It's the first time I've done it.
2311,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,525,814,815,2,14,67,0,It's the first time I've done it. It's the first time I've done it.,It's the first time I've done it. It's the first time I've done it.
2312,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,526,816,817,2,14,67,0,It's the first time I've done it. It's the first time I've done it.,It's the first time I've done it. It's the first time I've done it.
2313,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,527,818,820,3,27,158,0,"It's the first time I've done it. Very good. The assistance system, what I really like about it, is the air-conditioning system, which functions as a problem.","It's the first time I've done it. Very good. The assistance system, what I really like about it, is the air-conditioning system, which functions as a problem."
2314,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,528,821,821,1,17,94,0,"I also like the head-up display, where you can use the assistance system, which I really like.","I also like the head-up display, where you can use the assistance system, which I really like."
2315,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,529,822,822,1,18,84,0,"I'm not a fan of it, because we don't have a head-up display, so it's not a problem.","I'm not a fan of it, because we don't have a head-up display, so it's not a problem."
2316,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,530,823,823,1,16,95,0,"The information is also in the street format, so you can't really see the street concentration.","The information is also in the street format, so you can't really see the street concentration."
2317,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,531,824,824,1,63,287,0,"I don't know how to explain it, I don't know how to explain it, I don't know how to explain it, I don't know how to explain it, I don't know how to explain it, I don't know how to explain it, I don't know how to explain it, I don't know how to explain it, I don't know how to explain it.","I don't know how to explain it, I don't know how to explain it, I don't know how to explain it, I don't know how to explain it, I don't know how to explain it, I don't know how to explain it, I don't know how to explain it, I don't know how to explain it, I don't know how to explain it."
2318,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,532,825,826,2,12,69,0,Some infotainment systems are not that big. It's the biggest of BMWs.,Some infotainment systems are not that big. It's the biggest of BMWs.
2319,BMW BMW i8 top speed run ¦ Car Driving Down The Road ¦ BMW i8 review top gear 2015 (720p 25fps H264 128kbit AAC),40,533,827,829,3,26,148,0,"Professionals are very small. They are also super classy. I marked the carton, I marked the vignette, and we'll see how the information can be used.","Professionals are very small. They are also super classy. I marked the carton, I marked the vignette, and we'll see how the information can be used."
